;x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;xA;xB;xC;xD;xE;xF;
;Implied;IndirectX;;;;ZeroPage;ZeroPage;;Implied;Immediate;Accumulator;;;Absolute;Absolute;;
0x;BRK ;ORA ($44,X);;;;ORA $44;ASL $44;;PHP ;ORA #$44;ASL A;;;ORA $4400;ASL $4400;;
;
;Relative;IndirectY;;;;ZeroPageX;ZeroPageX;;Implied;AbsoluteY;;;;AbsoluteX;AbsoluteX;;
1x;BPL $1234;ORA ($44),Y;;;;ORA $44,X;ASL $44,X;;CLC ;ORA $4400,Y;;;;ORA $4400,X;ASL $4400,X;;
;
;Absolute;IndirectX;;;ZeroPage;ZeroPage;ZeroPage;;Implied;Immediate;Accumulator;;Absolute;Absolute;Absolute;;
2x;JSR $4400;AND ($44,X);;;BIT $44;AND $44;ROL $44;;PLP ;AND #$44;ROL A;;BIT $4400;AND $4400;ROL $4400;;
;
;Relative;IndirectY;;;;ZeroPageX;ZeroPageX;;Implied;AbsoluteY;;;;AbsoluteX;AbsoluteX;;
3x;BMI $1234;AND ($44),Y;;;;AND $44,X;ROL $44,X;;SEC ;AND $4400,Y;;;;AND $4400,X;ROL $4400,X;;
;
;Implied;IndirectX;;;;ZeroPage;ZeroPage;;Implied;Immediate;Accumulator;;Absolute;Absolute;Absolute;;
4x;RTI ;EOR ($44,X);;;;EOR $44;LSR $44;;PHA ;EOR #$44;LSR A;;JMP $4400;EOR $4400;LSR $4400;;
;
;Relative;IndirectY;;;;ZeroPageX;ZeroPageX;;Implied;AbsoluteY;;;;AbsoluteX;AbsoluteX;;
5x;BVC $1234;EOR ($44),Y;;;;EOR $44,X;LSR $44,X;;CLI ;EOR $4400,Y;;;;EOR $4400,X;LSR $4400,X;;
;
;Implied;IndirectX;;;;ZeroPage;ZeroPage;;Implied;Immediate;Accumulator;;Indirect;Absolute;Absolute;;
6x;RTS ;ADC ($44,X);;;;ADC $44;ROR $44;;PLA ;ADC #$44;ROR A;;JMP ($4400);ADC $4400;ROR $4400;;
;
;Relative;IndirectY;;;;ZeroPageX;ZeroPageX;;Implied;AbsoluteY;;;;AbsoluteX;AbsoluteX;;
7x;BVS $1234;ADC ($44),Y;;;;ADC $44,X;ROR $44,X;;SEI ;ADC $4400,Y;;;;ADC $4400,X;ROR $4400,X;;
;
;;IndirectX;;;ZeroPage;ZeroPage;ZeroPage;;Implied;;Implied;;Absolute;Absolute;Absolute;;
8x;;STA ($44,X);;;STY $44;STA $44;STX $44;;DEY ;;TXA ;;STY $4400;STA $4400;STX $4400;;
;
;Relative;IndirectY;;;ZeroPageX;ZeroPageX;ZeroPageY;;Implied;AbsoluteY;Implied;;;AbsoluteX;;;
9x;BCC $1234;STA ($44),Y;;;STY $44,X;STA $44,X;STX $44,Y;;TYA ;STA $4400,Y;TXS ;;;STA $4400,X;;;
;
;Immediate;IndirectX;Immediate;;ZeroPage;ZeroPage;ZeroPage;;Implied;Immediate;Implied;;Absolute;Absolute;Absolute;;
Ax;LDY #$44;LDA ($44,X);LDX #$44;;LDY $44;LDA $44;LDX $44;;TAY ;LDA #$44;TAX ;;LDY $4400;LDA $4400;LDX $4400;;
;
;Relative;IndirectY;;;ZeroPageX;ZeroPageX;ZeroPageY;;Implied;AbsoluteY;Implied;;AbsoluteX;AbsoluteX;AbsoluteY;;
Bx;BCS $1234;LDA ($44),Y;;;LDY $44,X;LDA $44,X;LDX $44,Y;;CLV ;LDA $4400,Y;TSX ;;LDY $4400,X;LDA $4400,X;LDX $4400,Y;;
;
;Immediate;IndirectX;;;ZeroPage;ZeroPage;ZeroPage;;Implied;Immediate;Implied;;Absolute;Absolute;Absolute;;
Cx;CPY #$44;CMP ($44,X);;;CPY $44;CMP $44;DEC $44;;INY ;CMP #$44;DEX ;;CPY $4400;CMP $4400;DEC $4400;;
;
;Relative;IndirectY;;;;ZeroPageX;ZeroPageX;;Implied;AbsoluteY;;;;AbsoluteX;AbsoluteX;;
Dx;BNE $1234;CMP ($44),Y;;;;CMP $44,X;DEC $44,X;;CLD ;CMP $4400,Y;;;;CMP $4400,X;DEC $4400,X;;
;
;Immediate;IndirectX;;;ZeroPage;ZeroPage;ZeroPage;;Implied;Immediate;Implied;;Absolute;Absolute;Absolute;;
Ex;CPX #$44;SBC ($44,X);;;CPX $44;SBC $44;INC $44;;INX ;SBC #$44;NOP ;;CPX $4400;SBC $4400;INC $4400;;
;
;Relative;IndirectY;;;;ZeroPageX;ZeroPageX;;Implied;AbsoluteY;;;;AbsoluteX;AbsoluteX;;
Fx;BEQ $1234;SBC ($44),Y;;;;SBC $44,X;INC $44,X;;SED ;SBC $4400,Y;;;;SBC $4400,X;INC $4400,X;;
;
